elapsed time (sec),CO2 (ppm)
2,0
4,610
6,608
8,596
10,596
12,596
14,595
16,595
18,594
20,593
22,591
24,590
27,588
29,586
31,584
33,582
35,581
37,580
39,578
41,576
43,576
45,575
47,574
49,570
51,566
53,565
55,563
58,561
60,560
62,558
64,556
66,556
68,553
70,551
72,551
74,551
76,551
78,552
80,552
82,552
85,552
87,552
89,552
91,552
93,551
95,551
97,551
99,551
101,550
103,550
105,550
107,550
109,550
111,550
113,550
116,550
118,549
120,549
122,549
124,549
126,549
128,549
130,549
132,549
134,549
136,549
138,549
141,549
143,549
145,549
147,550
149,550
151,551
153,551
155,551
157,552
159,552
161,552
163,553
165,554
167,555
170,556
172,556
174,556
176,556
178,554
180,555
182,556
184,563
186,578
188,611
190,636
192,650
194,661
197,660
199,660
201,659
203,656
205,651
207,647
209,641
211,638
213,630
215,620
217,613
219,604
221,596
223,591
225,596
228,597
230,595
232,592
234,591
236,589
238,587
240,586
242,582
244,580
246,579
248,578
250,575
252,575
254,574
257,574
259,571
261,572
263,572
265,572
267,573
269,573
271,574
273,574
275,573
277,573
279,572
281,572
283,573
286,574
288,574
290,574
292,574
294,573
296,574
298,573
300,573
302,573
304,572
306,572
308,573
310,573
312,573
314,573
317,573
319,573
321,573
323,573
325,573
327,573
329,573
331,574
333,573
335,573
337,572
339,572
342,572
344,573
346,573
348,573
350,573
352,572
354,572
356,572
358,571
360,571
362,570
364,569
366,569
368,568
370,568
373,568
375,568
377,568
379,568
381,567
383,567
385,567
387,567
389,567
391,567
393,567
395,567
397,567
400,567
402,568
404,569
406,570
408,569
410,569
412,569
414,569
416,570
418,569
420,569
422,569
424,569
426,569
428,569
431,569
433,569
435,569
437,569
439,569
441,569
443,569
445,570
447,571
449,572
451,575
453,577
456,578
458,579
460,580
462,580
464,580
466,580
468,580
470,580
472,580
474,580
476,580
478,580
480,580
482,580
484,580
487,580
489,581
491,582
493,583
495,583
497,583
499,583
501,584
503,584
505,584
507,585
509,585
511,585
514,585
516,585
518,585
520,585
522,585
524,585
526,584
528,585
530,585
532,585
534,585
536,585
538,584
540,584
543,584
545,584
547,584
549,585
551,585
553,585
555,585
557,585
559,585
561,585
563,585
565,585
567,585
569,585
571,585
574,585
576,585
578,585
580,585
582,584
584,584
586,584
588,584
590,584
592,584
594,584
596,584
598,584
601,584
603,584
605,584
607,584
609,584
611,584
613,584
615,584
617,584
619,584
621,584
623,584
625,584
627,584
629,584
632,584
634,584
636,584
638,584
640,584
642,584
644,584
646,584
648,584
650,584
652,584
654,584
656,584
659,584
661,584
663,584
665,584
667,584
669,584
671,584
673,584
675,584
677,584
679,584
681,584
683,583
685,584
687,584
690,584
692,584
694,584
696,584
698,584
700,584
702,584
704,584
706,584
708,584
710,584
712,585
714,585
717,585
719,585
721,585
723,585
725,585
727,585
729,585
731,586
733,586
735,586
737,586
739,586
741,587
743,587
745,587
748,587
750,587
752,587
754,587
756,588
758,588
760,588
762,588
764,588
766,588
768,588
770,588
772,588
775,588
777,588
779,588
781,588
783,588
785,588
787,588
789,588
791,588
793,588
795,588
797,588
799,588
801,588
804,588
806,588
808,589
810,589
812,589
814,589
816,589
818,589
820,589
822,589
824,590
826,590
828,590
830,590
832,590
835,591
837,592
839,593
841,593
843,594
845,594
847,595
849,596
851,597
853,599
855,600
857,602
859,602
862,603
864,603
866,604
868,605
870,604
872,605
874,605
876,606
878,607
880,609
882,609
884,610
886,610
888,611
890,612
893,612
895,614
897,614
899,615
901,617
903,617
905,617
907,619
909,619
911,620
913,620
915,620
918,620
920,620
922,620
924,620
926,620
928,620
930,620
932,621
934,621
936,621
938,621
940,621
942,621
944,621
946,621
949,621
951,621
953,621
955,622
957,622
959,622
961,623
963,623
965,623
967,623
969,624
971,625
974,625
976,625
978,626
980,626
982,625
984,625
986,625
988,626
990,626
992,626
994,627
996,628
998,629
1000,630
1003,631
1005,631
1007,633
1009,634
1011,635
1013,635
1015,637
1017,637
1019,638
1021,639
1023,639
1025,640
1027,640
1029,641
1032,641
1034,643
1036,644
1038,644
1040,644
1042,645
1044,646
1046,647
1048,648
1050,648
1052,648
1054,648
1056,648
1058,648
1061,648
1063,649
1065,650
1067,650
1069,649
1071,649
1073,650
1075,650
1077,650
1079,650
1081,650
1083,651
1085,651
1087,651
1090,652
1092,653
1094,654
1096,654
1098,656
1100,657
1102,658
1104,658
1106,658
1108,659
1110,659
1112,660
1114,660
1117,661
1119,661
1121,661
1123,661
1125,660
1127,660
1129,661
1131,661
1133,661
1135,661
1137,661
1139,662
1141,662
1143,662
1145,662
1148,663
1150,663
1152,663
1154,663
1156,663
1158,664
1160,664
1162,665
1164,665
1166,665
1168,666
1170,666
1172,666
1175,665
1177,665
1179,666
1181,666
1183,667
1185,667
1187,667
1189,667
1191,667
1193,667
1195,667
1197,666
1199,667
1201,667
1204,667
1206,667
1208,667
1210,667
1212,667
1214,667
1216,667
1218,667
1220,667
1222,667
1224,667
1226,667
1228,667
1231,667
1233,668
1235,668
1237,669
1239,669
1241,670
1243,671
1245,671
1247,672
1249,673
1251,673
1253,673
1255,675
1257,676
1260,676
1262,677
1264,677
1266,677
1268,678
1270,678
1272,678
1274,678
1276,678
1278,679
1280,678
1282,678
1284,679
1286,680
1289,680
1291,680
1293,680
1295,679
1297,679
1299,680
1301,681
1303,681
1305,683
1307,683
1309,684
1311,684
1313,685
1315,685
1318,687
1320,687
1322,689
1324,689
1326,689
1328,690
1330,690
1332,691
1334,691
1336,691
1338,691
1340,691
1342,692
1344,692
1347,692
1349,692
1351,693
1353,693
1355,692
1357,692
1359,691
1361,691
1363,692
1365,693
1367,692
1369,693
1371,692
1374,692
1376,692
1378,692
1380,692
1382,693
1384,693
1386,693
1388,694
1390,694
1392,694
1394,694
1396,693
1398,693
1400,693
1402,693
1405,693
1407,693
1409,694
1411,694
1413,694
1415,694
1417,694
1419,694
1421,694
1423,694
1425,694
1427,695
1429,695
1432,695
1434,695
1436,695
1438,695
1440,695
1442,695
1444,695
1446,695
1448,695
1450,695
1452,695
1454,695
1456,695
1458,695
1461,695
1463,695
1465,695
1467,695
1469,695
1471,695
1473,695
1475,696
1477,696
1479,696
1481,696
1483,696
1485,697
1488,697
1490,697
1492,698
1494,699
1496,700
1498,700
1500,701
1502,702
1504,702
1506,702
1508,702
1510,702
1512,703
1514,704
1517,704
1519,704
1521,705
1523,705
1525,705
1527,705
1529,705
1531,705
1533,707
1535,707
1537,708
1539,709
1541,709
1544,709
1546,709
1548,709
1550,710
1552,710
1554,709
1556,710
1558,711
1560,711
1562,712
1564,712
1566,713
1568,713
1570,715
1573,716
1575,716
1577,716
1579,717
1581,718
1583,718
1585,719
1587,719
1589,719
1591,720
1593,720
1595,721
1597,721
1599,722
1602,722
1604,723
1606,724
1608,725
1610,727
1612,727
1614,727
1616,727
1618,727
1620,727
1622,727
1624,727
1626,727
1629,727
1631,727
1633,727
1635,727
1637,727
1639,727
1641,727
1643,727
1645,727
1647,728
1649,728
1651,728
1653,728
1655,728
1657,728
1660,728
1662,728
1664,728
1666,728
1668,728
1670,728
1672,728
1674,728
1676,728
1678,727
1680,727
1682,727
1684,728
1687,727
1689,727
1691,727
1693,726
1695,726
1697,727
1699,727
1701,727
1703,727
1705,727
1707,727
1709,727
1711,728
1713,727
1716,727
1718,727
1720,727
1722,728
1724,728
1726,728
1728,728
1730,728
1732,728
1734,728
1736,728
1738,728
1741,728
1743,728
1745,729
1747,729
1749,729
1751,729
1753,728
1755,728
1757,728
1759,728
1761,728
1763,728
1765,729
1767,729
1769,729
1772,729
1774,730
1776,730
1778,731
1780,731
1782,732
1784,732
1786,733
1788,733
1790,734
1792,734
1794,734
1796,735
1799,735
1801,736
1803,735
1805,736
1807,736
1809,736
1811,736
1813,737
1815,738
1817,738
1819,739
1821,739
1823,739
1825,739
1828,739
1830,739
1832,739
1834,739
1836,740
1838,740
1840,740
1842,740
1844,739
1846,739
1848,739
1850,740
1852,740
1854,740
1856,740
1859,740
1861,741
1863,741
1865,741
1867,741
1869,741
1871,741
1873,741
1875,741
1877,741
1879,741
1881,741
1883,741
1886,741
1888,741
1890,741
1892,741
1894,740
1896,741
1898,740
1900,741
1902,741
1904,741
1906,742
1908,742
1910,743
1912,743
1915,743
1917,743
1919,743
1921,744
1923,744
1925,744
1927,745
1929,747
1931,749
1933,750
1935,750
1937,750
1939,751
1942,751
1944,751
1946,750
1948,750
1950,750
1952,750
1954,750
1956,750
1958,751
1960,751
1962,751
1964,751
1966,751
1968,751
1971,751
1973,752
1975,752
1977,753
1979,754
1981,754
1983,756
1985,755
1987,755
1989,755
1991,755
1993,757
1995,757
1998,758
2000,758
2002,759
2004,760
2006,760
2008,760
2010,760
2012,760
2014,760
2016,760
2018,759
2020,759
2022,759
2024,758
2027,758
2029,759
2031,759
2033,760
2035,759
2037,760
2039,760
2041,760
2043,760
2045,760
2047,760
2049,761
2051,761
2054,761
2056,762
2058,763
2060,763
2062,762
2064,763
2066,763
2068,763
2070,765
2072,765
2074,765
2076,765
2078,766
2081,765
2083,765
2085,765
2087,765
2089,765
2091,766
2093,766
2095,767
2097,767
2099,767
2101,766
2103,766
2105,766
2107,767
2110,767
2112,767
2114,767
2116,768
2118,768
2120,768
2122,768
2124,767
2126,767
2128,767
2130,768
2132,768
2134,768
2137,767
2139,767
2141,767
2143,767
2145,767
2147,767
2149,767
2151,768
2153,769
2155,769
2157,768
2159,769
2161,770
2163,770
2165,769
2168,769
2170,769
2172,770
2174,771
2176,771
2178,772
2180,773
2182,772
2184,773
2186,772
2188,772
2190,772
2192,772
2195,772
2197,772
2199,772
2201,773
2203,773
2205,774
2207,775
2209,776
2211,775
2213,775
2215,775
2217,775
2219,775
2221,775
2224,775
2226,775
2228,775
2230,776
2232,776
2234,776
2236,776
2238,776
2240,776
2242,776
2244,777
2246,777
2248,777
2251,777
2253,777
2255,777
2257,777
2259,777
2261,777
2263,777
2265,777
2267,778
2269,778
2271,777
2273,778
2275,778
2277,779
2280,778
2282,778
2284,778
2286,778
2288,778
2290,778
2292,778
2294,778
2296,778
2298,778
2300,778
2302,778
2304,778
2306,778
2309,778
2311,780
2313,779
2315,779
2317,780
2319,780
2321,780
2323,780
2325,780
2327,780
2329,780
2331,780
2333,780
2336,780
2338,780
2340,780
2342,781
2344,781
2346,781
2348,781
2350,781
2352,781
2354,781
2356,781
2358,781
2360,781
