Time Elapsed,CO2 (ppm)
2,499
4,457
6,471
2,467
4,466
6,465
8,465
10,465
12,468
14,466
16,470
18,468
20,464
22,462
24,460
26,458
28,457
31,457
33,456
35,456
37,456
39,456
41,455
43,455
45,454
47,454
49,454
51,453
53,452
55,451
57,450
60,449
62,450
64,450
66,448
68,448
70,448
72,447
74,446
76,445
78,444
80,443
82,443
84,443
86,443
88,444
91,450
93,456
95,462
97,466
99,470
101,472
103,475
105,476
107,479
109,479
111,479
113,479
115,479
118,478
120,478
122,476
124,474
126,473
128,472
130,471
132,470
134,468
136,466
138,464
140,463
142,461
144,460
146,459
149,458
151,456
153,455
155,454
157,453
159,453
161,452
163,451
165,450
167,449
169,448
171,446
173,446
176,445
178,444
180,444
182,445
184,444
186,443
188,442
190,442
192,443
194,444
196,445
198,446
200,446
202,447
204,447
207,448
209,448
211,447
213,447
215,447
217,447
219,447
221,447
223,447
225,447
227,447
229,446
231,444
234,444
236,444
238,444
240,444
242,444
244,443
246,443
248,442
250,443
252,443
254,442
256,442
258,443
260,443
263,443
265,443
267,443
269,443
271,443
273,443
275,443
277,443
279,443
281,443
283,443
285,443
287,442
289,442
291,442
294,441
296,441
298,442
300,441
302,441
304,441
306,441
308,441
310,441
312,441
314,441
316,440
318,440
321,439
323,438
325,438
327,438
329,438
331,437
333,437
335,437
337,437
339,437
341,437
343,437
345,437
347,437
349,437
352,436
354,436
356,436
358,436
360,436
362,435
364,435
366,435
368,435
370,435
372,435
374,435
377,435
379,435
381,435
383,434
385,434
387,434
389,434
391,435
393,434
395,435
397,435
399,435
401,435
403,435
405,434
408,434
410,434
412,434
414,434
416,434
418,434
420,434
422,433
424,434
426,434
428,434
430,434
432,434
435,433
437,433
439,433
441,433
443,434
445,434
447,434
449,434
451,434
453,434
455,434
457,434
459,434
461,434
463,434
466,434
468,434
470,434
472,434
474,434
476,434
478,434
480,434
482,434
484,434
486,434
488,434
491,434
493,434
495,433
497,433
499,431
501,433
503,432
505,432
507,433
509,434
511,434
513,436
515,442
517,457
519,491
522,524
524,554
526,585
528,613
530,636
532,655
534,673
536,699
538,733
540,772
542,803
544,831
546,850
548,864
550,873
553,875
555,877
557,878
559,877
561,872
563,868
565,867
567,865
569,865
571,862
573,860
575,856
577,854
580,853
582,850
584,849
586,846
588,846
590,845
592,845
594,846
596,846
598,845
600,845
602,844
604,843
606,841
608,842
611,841
613,840
615,839
617,839
619,839
621,841
623,842
625,843
627,844
629,852
631,883
