,Elapsed Time (seconds),CO2 (ppm),lat,lon
2021-03-08 12:52:37,337,733,34.186888,-77.863942
2021-03-08 12:52:39,339,731,34.186887,-77.86392
2021-03-08 12:52:41,341,725,34.18688,-77.863931
2021-03-08 12:52:43,343,688,34.186871,-77.863952
2021-03-08 12:52:46,346,691,34.186861,-77.863979
2021-03-08 12:52:48,348,696,34.186861,-77.863996
2021-03-08 12:52:50,350,639,34.186861,-77.863996
2021-03-08 12:52:52,352,650,34.186856,-77.864013
2021-03-08 12:52:54,354,621,34.18684,-77.864046
2021-03-08 12:52:56,356,611,34.186831,-77.864062
2021-03-08 12:52:58,358,607,34.186813,-77.86409
2021-03-08 12:53:00,360,590,34.186801,-77.864107
2021-03-08 12:53:02,362,593,34.186787,-77.864121
2021-03-08 12:53:04,364,546,34.186765,-77.864148
2021-03-08 12:53:06,366,542,34.186743,-77.864176
2021-03-08 12:53:08,368,640,34.186731,-77.864191
2021-03-08 12:53:10,370,632,34.186716,-77.864206
2021-03-08 12:53:12,372,641,34.186702,-77.864222
2021-03-08 12:53:14,374,698,34.186689,-77.864245
2021-03-08 12:53:17,377,684,34.186671,-77.864283
2021-03-08 12:53:19,379,540,34.186657,-77.864315
2021-03-08 12:53:21,381,414,34.186645,-77.864348
2021-03-08 12:53:23,383,404,34.186638,-77.864371
2021-03-08 12:53:25,385,477,34.18663,-77.864403
2021-03-08 12:53:27,387,462,34.186629,-77.864439
2021-03-08 12:53:29,389,436,34.186632,-77.864459
2021-03-08 12:53:31,391,511,34.186643,-77.864484
2021-03-08 12:53:33,393,548,34.186655,-77.864513
2021-03-08 12:53:35,395,545,34.186668,-77.864544
2021-03-08 12:53:37,397,544,34.186682,-77.864574
2021-03-08 12:53:39,399,540,34.186701,-77.864601
2021-03-08 12:53:41,401,539,34.186722,-77.864626
2021-03-08 12:53:44,404,545,34.186743,-77.864665
2021-03-08 12:53:46,406,542,34.186752,-77.864681
2021-03-08 12:53:48,408,550,34.186771,-77.864708
2021-03-08 12:53:50,410,555,34.18679,-77.864736
2021-03-08 12:53:52,412,559,34.186813,-77.864756
2021-03-08 12:53:54,414,559,34.18683,-77.864764
2021-03-08 12:53:56,416,552,34.186859,-77.864771
2021-03-08 12:53:58,418,543,34.186887,-77.864782
2021-03-08 12:54:00,420,549,34.186902,-77.864792
2021-03-08 12:54:02,422,558,34.18693,-77.864804
2021-03-08 12:54:04,424,552,34.186947,-77.86481
